Number,Arabic,English
7021,تردد تكرار النبضات (PRF),Pulse-Repetition Frequency
7022,تعديل بزمن النبضة (PTM),Pulse-Time Modulation
7023,تعديل بعرض النبضة (PWM),Pulse-Width Modulation
7024,نبض,pulsing
7025,تردد الضخ,pump frequency
7026,ليزر الضخ,pump laser
7027,تكافؤ القدرة الشرائية (PPP),Purchasing Power Parity
7028,ينظف,purge (v)
7029,تنظيف,purging
7030,تلوين أرجواني,purpling
7031,دفع، يدفع,push (n)
7032,دفر بريد إلكتروني,push e-mail
7033,تقانة الدفع (الدفر),push technology
7034,هتف بالأزرار,pushbutton dialing
7035,اضغط لتتكلم (PTT),Push-To-Talk
7036,اضغط لتتكلم على الخلوي (POC),Push-to-talk Over Cellular
7037,عملية اضغط لتكتب,push-to-type operation
7038,[لغة] Python,Python
7039,تشوير [باعتماد] Q,Q signaling
7040,محلل QA,QA analyst
7041,[لغة] QBasic,QBasic
7042,(استفسار بمثال) QBE,QBE (Query-By-Example)
7043,المسرى Q,Q-bus
7044,رباعي,quad
7045,رباعي النوى (النويات),quad core
7046,رباعي البتات,quadbit
7047,كبل رباعي,quadded cable
7048,[حواسيب] Quadra,Quadra
7049,[تقانة] QUADRANT,QUADRANT
7050,ملامح تربيعية,quadratic profile
7051,تعامد,quadrature
7052,تعديل تعامدي للسعة (QAM),Quadrature Amplitude Modulation
7053,تعديل تعامدي,quadrature modulation
7054,تعديل تعامدي بإزاحة الطور (QPSK),Quadrature Phase Shift Keying
7055,ليف [ضوئي] رباعي القمصان,quadruply clad fiber
7056,أهلية ، تأهيل,qualification
7057,ضمان الجودة,quality assurance
7058,ضبط الجودة,quality control
7059,عام الجودة,quality factor
7060,جودة الخدمة (QoS),Quality of Service
7061,تكمية,quantization
7062,خطأ تكمية,quantization error
7063,يكمي,quantize (v)
7064,تغذية خلفية مكماة,quantized feedback
7065,تشوه التكمية,quantizing distortion
7066,ضجيج التكمية,quantizing noise
7067,كم,quantum
7068,حاسوب كمومي,quantum computer
7069,تعمية الكم,quantum cryptography
7070,توزيع مفاتيح الكم,quant um key distribution
7071,وثبة الكم,quantum leap
7072,ضجيج الكم,quantum noise
7073,عملية محدودة الكم,quantum-limited operation
7074,[برنامج] QuarkXPress,QuarkXPress
7075,[برنامج] QuarkXTension,QuarkXTension
7076,نسق متوسط مشترك ربعي (QCIF),Quarter Common Intermediate Format
7077,رباعية,quartet
7078,بلورة مرو/كوارتز,quartz crystal
7079,هزاز كوارتز,quartz oscillator
7080,إشارة شبه تماثلية,quasi-analog signal
7081,إرسال شبه تماثلي,quasi-analog transmission
7082,شبه لغة,quasi-language
7083,إشارة شبه عشوائية (QRS),Quasi-Random Signal
7084,بت الكم,qubit
7085,استفسار,query
7086,استفسار بمثال (QBE),Query By Example
7087,لغة استفسار,query language
7088,استفسار بمثال (QBE),Query-By-Example
7089,رتل، طابور,queue
7090,حركة سير رتلية,queue traffic
7091,نظرية الأرتال، نظرية الطوابير,queueing theory
7092,تأخر رتلي,queuing delay
7093,إسكات,quieting
7094,اعتيان خاسي,quincunx sampling
7095,إيقاف، خروج، يوقف,quit (n)
7096,لوحة مفاتيح QWERTY,QWERTY keyboard
7097,رف,rack
7098,محمول على رف,rack-mounted (adj)
7099,أداة RAD,RAD tool
7100,رادار,radar
7101,مرشد راداري,radar beacon
7102,مجال أعمى للرادار,radar blind range
7103,استخبارات رادارية,radar intelligence
7104,توقيع رادار,radar signature
7105,إشعاعية,radiance
7106,إصدارية إشعاعية,radiant emittance
7107,طاقة إشعاعية,radiant energy
7108,شدة إشعاعية,radiant intensity
7109,قدرة إشعاعية,radiant power
7110,إشعاع,radiation
7111,زاوية الإشعاع,radiation angle
7112,مردود الإشعاع,radiation efficiency
7113,حقل الإشعاع,radiation field
7114,نمط الإشعاع,radiation mode
7115,نموذج الإشعاع,radiation pattern
7116,مقاومة الإشعاع,radiation resistance
7117,تبعثر الإشعاع,radiation scattering
7118,أمن الإشعاع,radiation security
7119,ليف مقسى إشعاعيا,radiation-hardened fiber
7120,راديو,radio
7121,متحكم في منظومة نفاذ راديوية (RASC),Radio Access System Controller
7122,مقياس راديوي للأرتفاع,radio altimeter
7123,تكامل راديوي سلكي,radio and wire integration
7124,نطاق قاعدي راديوي,radio baseband
7125,حزمة راديوية,radio beam
7126,زر انتقاء,radio button
7127,قناة راديوية,radio channel
7128,خصوصية قناة راديوية,radio channel privacy
7129,حامل مشترك راديوي,radio common carrier
7130,تحكم راديوي,radio control
7131,كشف راديوي,radio detection
7132,تعيين الاتجاه راديويا (RDF),Radio Direction-Finding
7133,محطة تعيين الاتجاه راديويا,radio direction-finding station
7134,وسيلة راديوية,radio facility
7135,خبو راديوي,radio fadeout
7136,شدة الحقل الراديوي,radio field intensity
7137,تردد راديوي,radio frequency
7138,تداخل راديوي التردد (RFI),Radio Frequency Interference
7139,أفق راديوي,radio horizon
7140,مجال الأفق الراديوي (RHR),Radio Horizon Range
7141,نداء راديوي,radio paging
7142,مطراف شخصي راديوي,radio personal terminal
7143,منفذ راديوي,radio port
7144,متحكم في منفذ راديوي (RPC),Radio Port Controller
7145,مدى راديوي ، إرشاد راديوي,radio range
7146,محطة ذات مجال راديوي,radio range station
7147,ترحيل راديوي,radio relay
7148,إبراق راديوي,radio telegraphy
7149,هتف راديوي,radio telephony
7150,آلة كاتبة راديوية من بعد,radio teletypewriter
7151,إنهاء راديوي,radio termination
7152,إزاحة مراقبة راديوية,radio watch shift
7153,موجة راديوية,radio wave
7154,محطة إرشاد راديوي,radiobeacon station
7155,مخطط تغطية راديوية,radio-coverage diagram
7156,محطة تحديد راديوي,radiodetermination station
7157,خدمة تحديد راديوي-ساتلي,radiodetermination-satellite service
7158,مراقبة إشعاعية,radiological monitoring
7159,[علم] قياس الإشعاع,radiometry
7160,محطة أرضية للملاحة الراديوية,radionavigation land station
7161,محطة متنقلة للملاحة الراديوية,radionavigation mobile station
7162,برقية راديوية,radiotelegram
7163,قياس راديوي من بعد,radiotelemetry
7164,تردد طوارئ للهاتف الراديوي,radiotelephone distress frequency
7165,[بروتوكول] RADIUS,RADIUS
7166,أساس، جذر,radix
7167,فاصلة أصلية,radix point
7168,خوارزمية فرز بالأساس,radix sorting algorithm
7169,"متمم ب "الأساس ناقصا واحدا",radix-minus-one complement
7170,(صفيفة مكررة من أقراص مستقلة) RAID,RAID (Redundant Arrays Of Independent Disks)
7171,(صفيفة مكررة من أقراص رخيصة) RAID,RAID (Redundant Arrays Of Inexpensive Disks)
7172,[صفيفة] RAID 0,RAID 0
7173,[صفيفة] RAID 1,RAID 1
7174,[صفيفة] RAID 10,RAID 10
7175,[صفيفة] RAID 5,RAID 5
7176,مجلس RAID الاستشاري,RAID Advisory Board
7177,متحكم في RAID,RAID controller
7178,ندية RAID,RAID parity
7179,توهين المطر,rain attenuation
7180,مستقبل مجمع,rake receiver
7181,خابية الرام,RAM cache
7182,بطاقة الرام,RAM card
7183,خرطوشة رام,RAM cartridge
7184,رقاقة رام,RAM chip
7185,ضغط الرام,RAM compression
7186,اكتظاظ الرام,RAM cram
7187,قرص رام,RAM disk
7188,توجيه,routing
7189,مخطط,scheme
7190,[برنامج] مخطط النشاطات العلمية,science activity planner
7191,تدوين علمي,scientific notation
7192,مدى، نطاق,scope
7193,مدى [البروتوكول] IPSec,scope of IPSec
7194,[معايير] SCORM,SCORM
7195,يبعثر,scramble (v)
7196,مبعثر,scrambler
7197,بعثرة,scrambling
7198,[لغة] scratch,scratch
7199,ملف التسويد,scratch file
7200,مخزن رقعة التسويد,scratch pad store
7201,ذاكرة رقعة التسويد,scratchpad memory
7202,رام رقعة التسويد,scratchpad RAM
7203,شاشة,screen
7204,زاوية الشاشة,screen angle
7205,لقطة شاشة,screen capture
7206,رفيف الشاشة,screen flicker
7207,بنط الشاشة,screen font
7208,خطوة الشاشة,screen pitch
7209,ميز الشاشة,screen resolution
7210,شاشة التوقف,screen saver
7211,لقطة شاشة,screen shot
7212,موجه الغربلة,screening router
7213,إخطاطة,script
7214,لغة إخطاطية,scripting language
7215,يحرك [شاقوليا/أفقيا],scroll (v)
7216,شريط التحريك,scrollbar
7217,تنظيف,scrubbing
7218,[منهجية] scrum,scrum
7219,(واجهة نظام حاسوب صغير) SCSI,SCSI (Small Computer System Interface)
7220,موائمة SCSI,SCSI adapter
7221,مسرى SCSI,SCSI bus
7222,سلسلة SCSI,SCSI chain
7223,مربط SCSI,SCSI connector
7224,تجهيزة SCSI,SCSI device
7225,معرف SCSI,SCSI ID
7226,بادئ SCSI,SCSI initiator
7227,منفذ SCSI,SCSI port
7228,نمط SCSI المتزامن,SCSI synchronous mode
7229,برمجيات غثائية,scumware
7230,بطاقة ذاكرة SD (رقمية آمنة),SD Memory Card
7231,(لغة تعريف الخزن) SDL,SDL (Storage Definition Language)
7232,[بروتوكول] SDLC,SDLC
7233,[ذاكرة] SDRAM,SDRAM
7234,[تقانة] SDSL,SDSL
7235,سلس,seamless
7236,تكامل سلس,seamless integration
7237,بحث,search
7238,خوارزمية بحث,search algorithm
7239,بحث وتبديل,search and replace
7240,محرك بحث,search engine
7241,حقل بحث,search field
7242,مفتاح بحث,search key
7243,نظام الملفات الموسع الثاني,second extended file system
7244,قناة ثانوية,secondary channel
7245,مفتاح ثانوي,secondary key
7246,إشعاع ثانوي,secondary radiation
7247,مزود خدمة ثانوي,secondary service provider
7248,قناة سرية,secret channel
7249,مفتاح سري,secret key
7250,تعمية بمفتاح سري,secret key cryptography
7251,تعمية بمفتاح سري,secret key encryption
7252,مقطع,section
7253,بتات المقطع المضافة,section overhead
7254,معدات إنهاء المقطع (STE),Section Terminating Equipment
7255,قطاع,sector
7256,تشذير قطاعات,sector interleave
7257,زلق قطاعات,sector slipping
7258,[تخصيص] قطاعات احتياطية,sector sparing
7259,آمن,secure
7260,قناة آمنة,secure channel
7261,اتصالات آمنة,secure communications
7262,بروتوكول المعاملات الإلكترونية الآمنة (SET),Secure Electronics Transactions protocol
7263,خوارزمية تلبيد آمنة (SHA),Secure Hash Algorithm
7264,وظائف تلبيد آمنة,secure hash functions
7265,[بروتوكول] HTTP الآمن (S-HTTP),Secure HTTP
7266,توسعة آمنة متعددة الأغراض لبريد الإنترنت (الشابكة) (SMIME),Secure Multipurpose Internet Mail Extension
7267,طبقة قبس آمنة (SSL),Secure Socket Layer
7268,معاملة آمنة,secure transaction
7269,تقانة معاملات آمنة (STT),Secure Transaction Technology
7270,إرسال آمن,secure transmission
7271,أمن,security
7272,إنذار أمني,security alarm
7273,روابط أمنية,security associations
7274,تدقيق أمني,security audit
7275,بطاقة أمنية,security card
7276,صف أمني,security class
7277,ترخيص أمني,security clearance
7278,نطاق أمني,security domain
7279,خلل أمني,security flaw
7280,معرف أمني (SID),Security ID
7281,نواة أمنية,security kernel
7282,سجل أمني,security log
7283,إدارة أمنية,security management
7284,إجراء أمني,security measure
7285,آلية أمنية,security mechanism
7286,دليل وسطاء الأمن (SPI),Security Parameters Index
7287,سياسة أمنية,security policy
7288,نموذج سياسة أمنية,security policy model
7289,بروتوكول أمني,security protocol
7290,مراقب مرجعي أمني (SRM),Security Reference Monitor
7291,متطلبات أمنية,security requirements
7292,خدمة أمنية,security service
7293,برمجيات أمنية,security software
7294,تهديدات أمنية,security threats
7295,علام أمني,security token
7296,عنوان النشدان,seek address
7297,مدة النشدان,seek time
7298,قطعة,segment
7299,تقطيع,segmentation
7300,تقطيع وإعادة تجميع (SAR),Segmentation And Reassembly
7301,خرق التقطيع,segmentation violation
7302,فضاء عناوين مقطعة,segmented address space
7303,بنيان عنونة مقطعة,segmented addressing architecture
7304,قانون ترميز مقطع,segmented encoding law
7305,خوارزميات تبديل القطع,segment-replacement algorithms
7306,حيازة,seizure
7307,ينتقي,select (v)
7308,عبارة انتقاء,select clause
7309,انتقاء,selection
7310,تجميع انتقائي,selective assembly
7311,قبول اتصال انتقائي,selective call acceptance
7312,إحالة اتصال انتقائية,selective call forwarding
7313,اتصال انتقائي,selective calling
7314,إهمال خلايا انتقائي,selective cell discard
7315,رنين انتقائي,selective ringing
7316,منتق,selector
7317,رماز ذاتي التفعيل,self-activating code
7318,تكيف ذاتي,self-adapting
7319,عناوين IP ذاتية الإسناد,self-assigned IP addresses
7320,استيقان ذاتي,self-authentication
7321,توقيت ذاتي,self-clocking
7322,رمز ذاتي التصحيح,self-correcting code
7323,كتلة ذاتية المحاذاة,self-delineating block
7324,بريد إلكتروني ذاتي الإتلاف,self-destructing e-mail
7325,توثيق ذاتي,self-documentation
7326,رماز ذاتي التوثيق,self-documenting code
7327,ملف ذاتي الاستخراج,self-extracting file
7328,شفاء ذاتي,self-healing
7329,شبكة ذاتية الشفاء,self-healing network
7330,جسر ذاتي التعلم,self-learning bridge
7331,رماز ذاتي التعديل,self-modifying code
7332,مراقبة ذاتية,self-monitoring
7333,منظومة تقانية ذاتية المراقبة والتحليل والإلخبار (SMART),Self-Monitoring Analysis and Reporting Technology system
7334,خريطة ذاتية التنظيم,self-organizing map
7335,بنيان ذات التنظيم للمعاجلة والدفق (SOPA),Self-Organizing Processing and streaming Architecture
7336,تطبيقات خدمات ذاتية,self-service application
7337,اختبار ذاتي,self-test
7338,رماز ذاتي الصلاحية,self-validating code
7339,تحليل دلالي,semantic analysis
7340,نمذجة معطيات دلالية,semantic data modeling
7341,شبكة دلالية,semantic network
7342,استمثال دلالي,semantic optimization
7343,استمثال استفسار دلالي,semantic query optimization
7344,الوب الدلالي,semantic Web
7345,علم الدلالة,semantics
7346,تومئة,semaphore
7347,لبنة تومئة,semaphore construct
7348,نصف,semi
7349,منظومة ابتدال نصف آلية,semiautomatic switching system
7350,نصف ناقل,semiconductor
7351,عملية نصف مثنوية,semiduplex operation
7352,ربط نصف دائم,semi-permanent connection
7353,يرسل,send (v)
7354,معدل جهارة [الصوت] المرسل (SLR),Send Loudness Rating
7355,عبارة إرسال,send statement
7356,مرسل,sender
7357,استيقان المرسل,sender authentication
7358,معدل جهارة [الصوت] المرسل (SLR),Sending Loudness Rating
7359,مفتاح تحسس,sense key
7360,رمز تحسس,sense-code
7361,تحسس,sensing
7362,ذراع تحسس,sensing arm
7363,تجهيزة تحسس,sensing device
7364,حساس,sensitive
7365,اختبار الحساسية,sensitivity testing
7366,محس,sensor
7367,قفاز ذو محسات,sensor glove
7368,طرة,sentinel
7369,تشوير بقناة منفصلة,separate channel signaling
7370,نقطة فصل,separation point
7371,فاصل,separator
7372,[مشروع] SEPP,SEPP
7373,سباعية,septet
7374,متتالية ، تتال,sequence
7375,فحص التتالي,sequence check
7376,سجل التحكم في التتالي,sequence control register
7377,مخططات التتالي,sequence diagrams
7378,رقم تسلسلي,sequence number
7379,مجالات المتتالية,sequence range
7380,[بروتوكول] تبادل رزم متتالية (SPX),Sequenced Packet eXchange
7381,مسلسلة,sequencer
7382,تتابعي,sequential (adj)
7383,نفاذ تتابعي,sequential access
7384,تجهيزات نفاذ تتابعي,sequential access devices
7385,طريقة نفاذ تتابعي,sequential access method
7386,نمط نفاذ تتابعي,sequential access mode
7387,خزن بنفاذ تتابعي,sequential access storage
7388,خوارزمية تتابعية,sequential algorithm
7389,تماسك تتابعي,sequential cohesion
7390,ملف تتابعي,sequential file
7391,عملية تتابعية,sequential operation
7392,معالجة تتابعية,sequential processing
7393,بحث تتابعي,sequential search
7394,تسلسلي,serial
7395,موائمة تسلسلية,serial adapter
7396,بطاقة غير متزامنة تسلسلية,serial async card
7397,[واجهة] ATA تسلسلية,serial ATA
7398,[واجهة] SCSI تسلسلية مربوطة (SAS),Serial Attached SCSI
7399,مسرى تسلسلي,serial bus
7400,كبل تسلسلي,serial cable
7401,اتصالات تسلسلية,serial communications
7402,جامع كامل تسلسلي,serial full adder
7403,طارح كامل تسلسلي,serial full subtracter
7404,جامع نصفي تسلسلي,serial half-adder
7405,دخل/خرج تسلسلي,serial I/O
7406,[إرسال] تسلسلي تحت الأحمر (SIR),Serial Infrared
7407,واجهة تسلسلية,serial interface
7408,بروتوكول الإنترنت (الشابكة) على خط تسلسلي (SLIP),Serial Line Internet Protocol
7409,طابعة مصفوفية تسلسلية,serial matrix printer
7410,فأرة تسلسلية,serial mouse
7411,رقم تسلسلي,serial number
7412,منفذ تسلسلي,serial port
7413,معالجة تسلسلية,serial processing
7414,إرسال تسلسلي,serial transmission
7415,سلسلة,serialization
7416,مفاتيح تسلسلية,SerialKeys
7417,محول تسلسلي-متوازي,serial-to-parallel converter
7418,متسلسلة,series
7419,مخدم,server
7420,تطبيق مخدم,server application
7421,تجمع مخدمات,server clustering
7422,تعطل مخدم واستعادته,server crash and recovery
7423,مزارع مخدمات,server farms
7424,[بروتوكول] كتلة رسائل المخدم (SMB),Server Message-Block
7425,نظام تشغيل المخدم,server operating system
7426,منصة المخدم,server platform
7427,برنامج المخدم,server program
7428,دفع/سحب المخدم,server push-pull
7429,إخطاطة من طرف المخدم,server-side script
7430,خدمة,service
7431,رماز النفاذ إلى الخدمة (SAC),Service Access Code
7432,نقطة النفاذ إلى الخدمة (SAP),Service Access Point
7433,بروتوكول إعلان الخدمة (SAP),Service Advertising Protocol
7434,الحد الأدنى المؤثر في الخدمة (SAL),Service Affecting Limit
7435,نداء خدمة,service call
7436,قناة الخدمة,service channel
7437,صنف الخدمة,service class
7438,رمز الخدمة,service code
7439,نقطة التحكم في الخدمة (SCP),Service Control Point
7440,تقارب الخدمات,service convergence
7441,وحدة معطيات الخدمة,service data unit
7442,أرقام خدمة,service digits
7443,نقطة طرفية في الخدمة,service endpoint
7444,مهندس خدمات,service engineer
7445,معرف الخدمة,service identification
7446,استقلال الخدمة,service in dependence
7447,سلامة الخدمة,service integrity
7448,مستوى الخدمة,service level
7449,اتفاقية مستوى الخدمات (SLA),Service Level Agreement
7450,نظام إدارة مستوى الخدمات (SLM),Service Level Management system
7451,منطق خدمة,service logic
7452,وظيفة النفاذ إلى إدارة الخدمات,service management access function
7453,نظام إدارة الخدمات (SMS),Service Management System
7454,فريق إدارة الخدمات (SMT),Service Management Team
7455,دليل الخدمة,service manual
7456,نمط الخدمة,service mode
7457,عقدة خدمة,service node
7458,حزمة خدمات,service pack
7459,ملامح الخدمة,service profile
7460,معرف ملامح الخدمة (SPID),Service Profile IDentification
7461,إدارة ملامح الخدمات,service profile management
7462,برنامج خدمة,service program
7463,مزود خدمة,service provider
7464,إجراء خدمي,service routine
7465,معرف مجموعة خدمات (SSID),Service Set IDentifier
7466,إشارات خدمة,service signals
7467,مشترك في الخدمة,service subscriber
7468,نقطة ابتدال الخدمات والتحكم فيها,service switching and control point
7469,وظيفة ابتدال خدمة,service switching function
7470,نقطة ابتدال الخدمات,service switching point
7471,نقطة إنهاء الخدمة,service termination point
7472,مبدال واع للخدمة,service-aware switch
7473,ضمان مستوى الخدمة,service-level guarantee
7474,خدمي التوجه,service-oriented (adj)
7475,حمولية مزود الخدمة,service-provider portability
7476,مخدم صغير,servlet
7477,حاوية مخدم صغير,servlet container
7478,محرك مخدم صغير,servlet engine
7479,جلسة,session
7480,حبيبة جلسة,session bean
7481,طبقة التحكم في الجلسة,session control layer
7482,بروتوكول وصف الجسات (SDP),Session Description Protocol
7483,بروتوكول فتح الجلسات (SIP),Session Initiation Protocol
7484,مفتاح الجلسة,session key
7485,طبقة الجلسة,session layer
7486,[نمط تسجيل] جلسات (SAO),Session-At-Once
7487,شبكة موجهة بالجلسات,session-oriented network
7488,إعدادات,settings
7489,نسبة التصفية/التسوية,settlement rate
7490,زمن الاستقرار,settling time
7491,إعداد,setup
7492,مخطط الإعداد,setup diagram
7493,ذاكرة الإعداد,setup memory
7494,برنامج الإعداد,setup program
7495,متوالية [محارف] الإعداد,setup string
7496,مدة الإعداد,setup time
7497,مرشد الإعداد,setup wizard
7498,مظهار سباعي الأضلاع (SSD),Seven-Segment Display
7499,معدل كتل الخلايا القاسية الخطأ,severely errored cell block ratio
7500,ثانية الخطأ القاسي (SES),Severely Errored Second
7501,[لغة] SGML,SGML
7502,تظليل,shading
7503,ظل,shadow
7504,فقد الظل,shadow loss
7505,قناع الظل,shadow mask
7506,تداول بصفحات ظلية,shadow paging
7507,طباعة مظللة,shadow print
7508,رام الظل,shadow RAM
7509,شبكة تشكيل,shaping network
7510,نموذج مرجعي لأغراض المحتوى التشاركي (SCORM),Sharable Content Object Reference Model
7511,مشترك,shared
7512,صفيفة مشتركة,shared array
7513,مبدال مسرى مشترك,shared bus switch
7514,قناة مشتركة,shared channel
7515,قاعدة معطيات مشتركة,shared data base
7516,ملف مشترك,shared file
7517,مصنف مشترك,shared folder
7518,منطق مشترك,shared logic
7519,ذاكرة مشتركة,shared memory
7520,دليل شبكي مشترك,shared network directory
7521,طابعة مشتركة,shared printer
7522,نظام السجلات المشتركة (SRS),Shared Registry System
7523,مورد مشترك,shared resource
7524,مصدر مشترك,shared source
7525,صف فرعي مشترك,shared subclass
7526,[منصة] SharePoint,SharePoint
7527,برمجيات مشتركة (برمجيات تشاركية),shareware
7528,تشارك,sharing
7529,إخلال بالتشارك,sharing violation
7530,قرص Shark,Shark disk
7531,حدة,sharpness
7532,غلاف,sheath
7533,ورقة,sheet
7534,ملقم أوراق,sheet feeder
7535,برمجيات مهملة (على الرف),shelfware
7536,مظرف,shell
7537,برمجة المظرف,shell programming
7538,إخطاطة مظرفية,shell script
7539,درع,shield
7540,زوج [أسلاك] مدرع,shielded pair
7541,زوج [أسلاك] مضفور مدرع (STP),Shielded Twisted Pair
7542,تدريع,shielding
7543,إزاحة ، تبديل,shift
7544,مفتاح تبديل,Shift key
7545,سجل إزاحة,shift register
7546,إثارة صدمية,shock excitation
7547,معدل الصدم,shock rating
7548,طيف الصدم,shock spectrum
7549,موجة صدم,shockwave
7550,مشغل موجة الصدم,shockwave player
7551,سلة تسوق,shopping basket
7552,عربة تسوق,shopping cart
7553,بطاقة قصيرة,short card
7554,أسماء قصيرة للملفات,short filenames
7555,ذو مسافة قصيرة (قصير المسافة),short haul (adj)
7556,إشارة مقاطعة قصيرة ، حدث مقاطعة قصيرة,short interruption event
7557,خدمة رسائل قصيرة (SMS),Short Message Service
7558,أرقام [هاتفية] قصيرة,short numbers
7559,أمد قصير,short term
7560,موجة قصيرة,short wave
7561,طول موجة قصير,short wavelength
7562,تكلفة الانقطاع,shortage cost
7563,تقييم بدارة قصر,short-circuit evaluation
7564,مختصر,shortcut
7565,المسار الأقصر أولا,shortest path first
7566,اختزال,shorthand
7567,موجة مكروية (صغرية) قصيرة المدى,short-haul microwave
7568,مجدول قصير الأمد,short-term scheduler
7569,موجة قصيرة,shortwave
7570,ضجيج رشقي (ضجيج شوتكي),shot noise
7571,اختلاس [النظر من وراء] الكتف,shoulder surfing
7572,برمجيات مجرفية,shovelware
7573,يعرض,show (v)
7574,عرض الامتدادات,show extensions
7575,مولد انكماش,shrinking generator
7576,طور الانكماش,shrinking phase
7577,برمجيات مغلفة,shrink-wrapped software
7578,(معيار تلبيد آمن) SHS,SHS (Secure Hash Standard)
7579,[ملف] SHTML,SHTML
7580,يوقف,shut down (v)
7581,مغلاق، يغلق,shutter (n)
7582,أقرباء,sibling
7583,أثر جانبي,side effect
7584,نطاق جانبي,sideband
7585,إرسال بنطاق جانبي,sideband transmission
7586,محول سيغما-دلتا,sigma-delta converter
7587,سيغموئيد,sigmoid
7588,إشارة,sign
7589,بت الإشارة,sign bit
7590,تسجيل دخول,sign in
7591,تسجيل خروج,sign out
7592,إشارة,signal
7593,تضخيم الإشارة,signal amplification
7594,التقاط الإشارة,signal capturing
7595,ضغط الإشارة,signal compression
7596,نقطة التحكم في الإشارة,signal control point
7597,محول الإشارة,signal converter
7598,مسافة الإشارة,signal distance
7599,تشوه الإشارة,signal distortion
7600,تدلي الإشارة,signal droop
7601,مدة الإشارة,signal duration
7602,عنصر إشارة,signal element
7603,إزاحة تردد الإشارة,signal frequency shift
7604,أرض الإشارة,signal ground
7605,مستوى الإشارة,signal level
7606,مسار الإشارة,signal path
7607,معالجة الإشارة,signal proce ssing
7608,منظومة فرعية مرجعية للإشارات,signal reference subsystem
7609,تجديد إشارة,signal regeneration
7610,اعتيان إشارة,signal sampling
7611,أمن الإشارة,signal security
7612,نقطة نقل الإشارة (STP),Signal Transfer Point
7613,وحدة الإشارة,signal unit
7614,محاذاة وحدة إشارة,signal unit alignment
7615,مراقبة معدل أخطاء وحدة الإشارة,signal unit error rate monitoring
7616,تحكم في تتالي وحدات الإشارة,signal unit sequence control
7617,تشوير و تحكم,signaling and control
7618,قناة تشوير,signaling channel
7619,جزء التحكم في ربط التشوير (SCCP),Signaling Connection Control Part
7620,وصلة معطيات تشوير,signaling data link
7621,نقطة تشوير للوجهة,signaling destination point
7622,نقطة طرفية للتشوير,signaling end point
7623,وصلة تشوير,signaling link
7624,إلغاء تفعيل وصلة تشوير,signaling link deactivation
7625,إخفاق وصلة تشوير,signaling link failure
7626,وظيفة إدارة وصلات التشوير,signaling link management function
7627,استرجاع وصلة تشوير,signaling link restoration
7628,انتقاء وصلة تشوير,signaling link selection
7629,رسالة تشوير,signaling message
7630,تمييز رسالة التشوير,signaling message discrimination
7631,توزيع رسالة التشوير,signaling message distribution
7632,وظائف تناول رسالة التشوير,signaling message handling functions
7633,مسار رسالة التشوير,signaling message route
7634,شبكة تشوير,signaling network
7635,إدارة شبكة التشوير,signaling network management
7636,مسار تشوير,signaling path
7637,نقطة تشوير,signaling point
7638,رمز نقطة التشوير,signaling point code
7639,معدل التشوير,signaling rate
7640,مسار تشوير,signaling route
7641,سرعة التشوير,signaling speed
7642,نظام التشوير 7 (SS7),Signaling System number 7
7643,حيز زمني للتشوير,signaling time slot
7644,تحكم في جريان حركة سير التشوير,signaling traffic flow control
7645,نقطة نقل التشوير,signaling transfer point
7646,انتقال التشوير,signaling transition
7647,تشوير,signaling/signalling
7648,نسبة (الإشارة +الضجيج +التشوه) إلى (الضجيج +التشوه),signal-plus-noise-plus-distortion to noise-plus-distortion ratio
7649,نسبة (الإشارة +الضجيج) إلى الضجيج,signal-plus-noise-to-noise ratio
7650,دارة عودة الإشارة,signal-return circuit
7651,استخبارات الإشارات,signals intelligence
7652,نسبة الإشارة إلى اللغط (اختلاط الكلام),signal-to-cross talk ratio
7653,نسبة الإشارة إلى الضجيج (SNR),Signal-to-Noise Ratio
7654,بصمة ، توقيع,signature
7655,كتلة البصمة ، كتلة التوقيع,signature block
7656,موقع,signed
7657,وثيقة موقعة,signed document
7658,دلالة,significance
7659,شرط ذو دلالة,significant condition
7660,أرقام معنوية,significant digits
7661,لحظة ذات دلالة,significant instant
7662,سلطة التوقيع,signing authority
7663,[مجموعة] SIGTRAN,SIGTRAN
7664,رمز الصمت,silence code
7665,سيسليسيوم، سيليكون,silicon
7666,رقاقة سيليكونية,silicon chip
7667,مقوم محكوم سيليكونيا (SCR),Silicon Controlled Rectifier
7668,بلور سيليكوين,silicon crystal
7669,ديود ضوئي سيليكوين,silicon photodiode
7670,[تركيبة] SIMM,SIMM
7671,محول SIMM,SIMM converter
7672,طبقة الاستيقان والأمن البسيطة (SASL),Simple Authentication and Security Layer
7673,تصوين بسيط,simple buffering
7674,بروتوكول بسيط للتحكم في العبارة (SGCP),Simple Gateway Control Protocol
7675,واجهة بريد بسيطة,simple mail interface
7676,بروتوكول بسيط لنقل البريد (SMTP),Simple Mail Transfer Protocol
7677,بروتوكول بسيط لإدارة الشبكات (SNMP),Simple Network Management
7678,بروتوكول بسيط للنفاذ إلى الأغراض (SOAP),Simple Object Access Protocol
7679,مسح بسيط,simple scanning
7680,بروتوكول بسيط لإدارة الشاشة (SSMP),Simple Screen Management Protocol
7681,شرط أمن بسيط,simple security condition
7682,أحادي الاتجاه,simplex
7683,قناة أحادية الاتجاه,simplex channel
7684,دارة أحادية الاتجاه,simplex circuit
